Time	c	q	s
240	0	0	0
480	0	0	0
720	0	0	0
960	0	0	0
1200	0	0	0
1439	0	0	0
1680	0	0	0
1920	0	0	0
2160	0	0	0
2400	0	0	0
2640	2023.5	956	519
2880	1861.166667	1042.833333	529.8333333
3120	1861.166667	1042.833333	529.8333333
3360	1987.375	1148.5	692.5
3600	1946.4	1203.8	757.5
3840	1946.4	1203.8	757.5
4080	1933.153846	1218.153846	746.8461538
4320	1933.153846	1218.153846	746.8461538
4560	1933.153846	1218.153846	746.8461538
4800	1806.166667	1210.555556	734.2222222
5040	1768.380952	1220.285714	738.952381
5280	1774	1238.608696	723.5217391
5520	1792.444444	1214.285714	706.3928571
5760	1787.266667	1193.866667	700.5333333
6000	1850.636364	1263.848485	735.4242424
6240	1858.236842	1330.289474	772.4736842
6480	1877.697674	1430.860465	781
6720	1891.891304	1512.913043	805.7826087
6960	1911.481481	1609.166667	800.7777778
7200	1934.5	1666.448276	809.9137931
7440	1946.786885	1691.83871	815.6451613
7680	1970.166667	1744.073529	817.4852941
7920	1962.72973	1763.447368	795.1973684
8160	1992.164557	1796.025316	803.0886076
8400	1983.5	1794.083333	801.7261905
8640	1987.170455	1800.284091	798.0681818
8880	1994.449438	1826.775281	796.2134831
9120	1984.535354	1843.63	811.88
9360	1999.342593	1874.87156	817.266055
9600	2007.693694	1890.405405	820.6846847
9840	2011.62931	1892.206897	831.362069
10080	2034.737288	1912.144068	835.8389831
10320	2035.040323	1918.741935	838.5403226
10560	2046.69403	1946.903704	837.6888889
10800	2066.912409	1948.316547	839.5179856
11040	2068.631206	1940.685315	826.7902098
11280	2078.932432	1948.094595	835.4594595
11520	2101.335484	1965.051613	833.4774194
11760	2102.490446	1959.757962	832.4585987
12000	2108.650307	1955.546012	835.9202454
12240	2117.778443	1956.419162	837.0718563
12480	2117.841176	1959.093567	834.245614
12720	2135.862857	1998.661017	838.8644068
12960	2136.542373	2015.297753	839.5393258
13200	2161.254144	2030.939227	843.5966851
13440	2180.291005	2042.863874	849.1256545
13680	2191.381443	2056.045918	850.8163265
13920	2188.38191	2055.115578	850.8040201
14160	2191.23301	2059.053398	854.7038835
14400	2200.401914	2068.07177	865.2679426
14640	2189.130841	2062.149533	868.2850467
14880	2193.388128	2065.054795	874.8127854
15120	2201.566372	2082.088496	887.7522124
15360	2201.926087	2080.904348	889.3956522
15600	2203.177489	2081.714286	889.3939394
15840	2220.046414	2101.983122	898.8734177
16080	2213.816667	2092.783333	894.1583333
16320	2201.562753	2088.262097	893.5604839
16560	2225.454183	2107.857708	898.5810277
16800	2233.403101	2112.911538	895.6153846
17040	2261.850746	2132.724907	897.1301115
17280	2256.879562	2134.332117	900.9452555
17520	2253.837545	2131.620939	904.234657
17760	2251.275	2124.932143	906.7464286
18000	2252.255245	2118.501742	906.641115
18240	2256.212329	2109.840678	908.8711864
18480	2258.3367	2111.006734	909.983165
18720	2260.47351	2100.518152	915.3729373
18960	2274.159091	2123.644013	919.6601942
19200	2280.361022	2119.412698	920.9047619
19440	2283.31348	2123.653125	920.9625
19680	2281.768519	2125.006154	922.6523077
19920	2299.140244	2139.469512	925.9847561
20160	2299.660661	2143.006006	927.2432432
20400	2309.95858	2160.668639	931.3047337
20640	2318.196481	2164.343109	933.8504399
20880	2327.880466	2173.680233	936.3255814
21120	2349.068571	2191.745714	936.1542857
21360	2355.058659	2190.27933	942.6089385
21600	2361.947658	2198.297521	942.5316804
21840	2368.111413	2203.105978	942.0788043
22079	2359.696237	2189.655914	937.9919355
22320	2360.424403	2190.335979	939.1111111
22560	2359.629243	2190.83812	938.3603133
22800	2357.15285	2191.015544	937.380829
23040	2355.544529	2191.569975	936.4503817
23280	2366.070886	2204.577215	937.1974684
23520	2361.062189	2196.880597	933.0995025
23760	2360.185185	2191.596059	931.5714286
24000	2355.289157	2194.454327	931.7067308
24240	2349.612293	2192.520095	929.5555556
24480	2345.894366	2189	927.6408451
24720	2351.364896	2195.284065	929.7367206
24960	2350.309795	2196.640091	930.6469248
25200	2347.513636	2194.720455	930.2181818
25440	2353.052154	2199.870748	931.8662132
25680	2349.593258	2196.168539	927.8134831
25919	2341.6	2191.92	924.5288889
26160	2340.897155	2195.49453	925.4595186
26400	2341.707792	2198.937229	925.3398268
26640	2335.509677	2192.567742	923.1591398
26880	2335.510684	2194.24359	922.4059829
27120	2338.284211	2194.694737	922.3684211
27360	2334.752621	2191.044025	922.5744235
27600	2332.75	2193.945833	922.0833333
27840	2332.509317	2191.358178	922.447205
28080	2332.900826	2190.349174	922.9524793
28320	2331.092025	2186.948875	920.4948875
28559	2330.574338	2186.441057	920.0813008
28800	2333.739919	2183.189516	918.3266129
29040	2332.828	2179.51	919.412
29280	2327.956607	2173.672584	918.4773176
29520	2332.633528	2175.415205	918.9610136
29760	2331.945841	2180.303675	919.4081238
30000	2331.566474	2178.786127	919.9922929
30240	2327.368522	2174.681382	919.0115163
