Time	q	s	c
240	0	0	0
480	0	0	0
720	0	0	0
960	0	0	0
1200	0	0	0
1440	0	0	0
1680	0	0	0
1920	0	0	0
2160	0	0	0
2400	2	2	2
2640	4	4	4
2880	2	2	2
3120	0	0	0
3360	3	3	3
3600	3	3	3
3840	4	4	4
4080	6	6	6
4320	3	3	3
4560	4	4	4
4800	5	5	5
5040	7	7	7
5280	3	3	3
5520	7	7	7
5760	12	12	12
6000	9	9	9
6239	9	9	9
6480	7	7	7
6720	11	11	11
6960	11	11	11
7200	8	8	8
7440	12	12	12
7680	8	8	8
7920	5	4	5
8160	10	10	10
8400	9	10	9
8640	6	6	6
8880	7	7	7
9120	6	5	6
9359	8	8	7
9599	6	6	7
9840	17	17	16
10080	8	7	7
10320	10	9	9
10560	7	9	9
10800	8	9	9
11040	7	8	8
11280	11	3	10
11520	10	13	8
11760	10	16	12
12000	10	8	11
12240	12	11	9
12480	5	6	7
12720	5	5	4
12960	8	8	8
13200	3	3	4
13440	11	11	10
13680	9	10	9
13920	4	3	3
14160	11	11	13
14400	10	10	9
14640	14	14	10
14880	11	11	10
15120	9	9	11
15360	8	10	9
15600	12	10	13
15840	7	7	6
16080	7	7	5
16320	7	7	11
16560	4	4	2
16800	6	6	7
17040	8	8	10
17280	6	6	6
17520	8	8	6
17760	6	6	7
18000	8	8	5
18240	8	8	11
18480	4	4	5
18720	9	9	8
18960	4	4	4
19200	9	9	9
19440	13	13	9
19680	9	9	12
19920	10	10	7
20160	7	8	11
20400	12	11	9
20640	11	11	5
20880	11	11	7
21120	10	10	13
21360	9	8	9
21600	10	10	7
21839	7	7	11
22080	10	9	10
22320	11	11	6
22560	10	7	7
22800	8	9	11
23040	10	11	9
23280	8	10	7
23520	10	10	4
23760	7	6	12
24000	7	7	4
24240	12	13	7
24480	10	7	6
24720	6	4	8
24960	13	11	6
25200	8	10	8
25440	10	11	8
25680	6	9	10
25920	7	7	11
26160	9	11	4
26400	5	4	11
26640	7	7	5
26879	9	7	6
27120	7	8	7
27360	11	10	7
27599	11	14	6
27840	8	6	7
28080	10	12	9
28320	4	4	10
28560	7	7	4
28800	11	11	2
29040	9	9	4
29280	13	13	6
29520	3	3	6
29760	13	13	6
30000	9	9	13
30240	4	3	2
