t	s		c
240	36.97916667	44.78	32.78
480	48.1825	77.77210526	42.77210526
720	38.04833333	103.7918182	51.7918182
960	43.01916667	104.2665217	49.2665217
1200	44.99652174	116.7377273	61.7377273
1440	60.07375	123.1790476	87.1790476
1680	87.22416667	107.198421052632	148.903529411765
1920	51.22375	130.413636363636	359.299130434783
2159	36.98666667	113.126315789474	590.749545454545
2399	29.00705882	158.112272727273	866.961
2639	50.46608696	121.421904761905	1069.92956521739
2879	68.46333333	107.010909090909	1329.12666666667
3120	43.26375	113.764090909091	301.9195
3359	29.09136364	146.548181818182	429.774090909091
3599	21.78571429	164.078260869565	631.650434782609
3840	58.8126087	176.091363636364	905.868235294118
4079	87.14782609	133.181818181818	1143.6485
4319	67.21666667	129.811818181818	1313.54411764706
4559	56.66125	110.137619047619	655.285263157895
4799	44.24521739	155.528181818182	508.471428571428
5039	31.12263158	175.043684210526	711.045217391304
5279	43.26521739	164.854285714286	941.488636363636
5520	61.24208333	160.291428571429	1165.35681818182
5760	33.85208333	132.205	1349.70304347826
6000	28.59727273	119.2935	1068.26041666667
6239	54.35590909	148.360434782609	1021.713
6480	88.86416667	132.985	981.692727272727
6720	74.59833333	137.00619047619	1106.15045454545
6960	45.88652174	117.003333333333	1099.41380952381
7200	42.62958333	122.404545454545	1348.38666666667
7439	33.92125	113.853684210526	485.815238095238
7679	39.76818182	160.408695652174	409.793636363636
7920	70.18583333	144.1435	669.6925
8159	52.735	159.942272727273	874.116111111111
8399	39.75583333	127.884782608696	1092.0665
8640	35.88461538	115.102272727273	1335.97363636364
8879	44.74428571	133.849523809524	976.342272727273
9120	84.74458333	160.662105263158	763.227826086956
9359	64.02166667	151.317272727273	1039.49727272727
9600	44.91	152.123181818182	1105.22736842105
9840	44.32916667	128.010952380952	1394.28
10079	62.97285714	151.237619047619	1354.52285714286
10319	98.09782609	123.513636363636	490.33125
10559	93.09434783	173.5665	521.671304347826
10800	76.37916667	154.721904761905	698.584347826087
11040	52.94	143.274285714286	965.281666666667
11279	33.59727273	147.407916666667	1160.5752173913
11520	55.67	134.543913043478	1350.54125
11759	77.66125	127.419047619048	657.113913043478
12000	66.88625	190.678260869565	677.762608695652
12240	45.93875	163.441363636364	722.511818181818
12480	42.79217391	184.22	1041.51047619048
12720	25.5	150.040869565217	1157.46652173913
12960	49.30863636	134.075454545455	1318.39375
13200	74.1926087	157.129	711.183157894737
13440	48.23958333	180.240526315789	955.662727272727
13680	31.22416667	186.041739130435	875.207826086957
13919	20.31785714	185.604347826087	1000.4325
14159	47.86285714	154.040476190476	1224.95454545455
14400	89.41086957	128.371363636364	1549.96826086957
14640	99.20434783	137.5825	817.293043478261
14879	80.56416667	194.85	722.882272727273
15119	52.725	168.151363636364	918.713181818182
15360	42.42041667	154.925833333333	945.765
15599	64.45478261	139.353043478261	1129.21571428571
15839	93.45521739	112.6945	1328.05181818182
16080	88.26125	133.111304347826	376.557142857143
16319	52.37708333	160.460909090909	460.428636363636
16559	36.83166667	164.786363636364	839.924166666667
16799	45.77125	150.83	904.308947368421
17040	60.405	140.872272727273	1082.325
17279	89.53541667	136.102380952381	1325.89869565217
17519	71.60541667	139.403333333333	744.651363636364
17760	51.10958333	191.008636363636	684.635416666667
17999	32.26909091	183.656363636364	860.937391304348
18239	22.25	171.43652173913	1066.11956521739
18480	42.5	168.712608695652	1214.43608695652
18719	69.23083333	147.758260869565	1319.81444444444
18960	54.29333333	135.180476190476	741.424545454545
19200	36.30521739	177.667142857143	673.754347826087
19439	36.57923077	205.851904761905	854.446086956522
19680	50.44130435	158.67625	1130.46695652174
19920	66.49541667	137.371739130435	1158.34272727273
20159	54.38125	113.26	1446.00863636364
20399	32.54565217	122.480454545455	702.615909090909
20639	27.25666667	162.206	661.785
20880	52.66043478	158.721739130435	885.35
21120	77.08041667	155.374545454545	1037.4747826087
21359	65.165	141.0095	1209.66565217391
21599	47.70833333	99.4033333333334	1376.26578947368
21839	26.41454545	122.285454545455	516.545
22079	22.17625	156.493809523809	456.380434782609
22319	72.06958333	160.375833333333	650.02619047619
22560	74.59541667	153.285909090909	1046.92
22799	55.22208333	107.54652173913	1166.04904761905
23039	34.85791667	111.351363636364	1305.41
23280	18.08866667	120.53375	653.614
23519	42.05954545	153.284782608696	521.927727272727
23759	79.33333333	137.64	685.654347826087
24000	61.56478261	151.5095	940.182173913044
24239	47.16083333	130.241428571429	1111.2645
24479	31.35666667	133.098260869565	1326.81458333333
24719	28.84375	119.129	620.399090909091
24959	49.44916667	148.01	576.688636363636
25200	65.76826087	140.896666666667	666.079130434783
25440	63.34791667	159.15	856.8535
25680	42.31869565	137.124210526316	1099.87952380952
25920	38.61083333	142.1945	1312.2380952381
26160	23.65	128.842727272727	739.925
26400	42.82043478	141.582380952381	442.88
26639	74.52875	165.31347826087	736.613181818182
26880	60.39708333	143.827391304348	869.039090909091
27120	49.54916667	122.336363636364	1074.21818181818
27359	36.20041667	128.751739130435	1314.53315789474
27599	30.83285714	135.016363636364	460.920526315789
27839	59.62673913	156.329047619048	496.543181818182
28079	29.88	157.42	655.211304347826
28320	30.36291667	155.541304347826	1002.25043478261
28560	30.77565217	122.559166666667	1117.26541666667
28799	32.24583333	125.489090909091	1320.97727272727
29039	32.02173913	126.686818181818	592.3475
29280	47.54333333	155.901363636364	449.079047619048
29519	45.46458333	145.763333333333	683.598695652174
29760	54.98291667	125.526666666667	891.62125
29999	52.45708333	116.092	1086.65695652174
30240	57.23875	131.554761904762	1081.45829787234
