t	c	q	s
1680	148.7410526	78.82315789	45.02454545
1920	362.9804348	108.1077778	35.61958333
2160	600.3068182	103.9721739	42.77416667
2400	842.8	126.4054545	39.42375
2640	1093.002857	117.7	48.22291667
2880	1308.097826	139.307619	33.05217391
3120	404.6294737	137.2266667	34.45041667
3360	403.139	127.2752174	33.36416667
3600	634.7125	125.8622727	31.11833333
3840	872.4178261	154.6425	26.18826087
4080	1083.816522	135.944	46.16833333
4320	1329.820952	142.2781818	41.26956522
4560	525.5817647	138.5472727	52.07375
4800	457.9561905	136.7195238	41.86173913
5040	623.8959091	136.623	47.74333333
5280	924.1517391	169.8118182	39.72
5520	1202.407	149.2459091	43.08458333
5760	1323.619167	140.3725	34.61916667
6000	929.5673684	145.9331818	31.42304348
6240	756.6425	139.152	26.21681818
6480	787.5508696	143.2557143	30.66041667
6720	976.2868182	143.5630435	22.11238095
6960	1188.777083	141.5918182	37.11666667
7200	1317.46	140.8395455	28.88
7440	215.5242857	110.0275	40.91083333
7680	363.9108333	141.1408696	41.58666667
7920	623.486087	120.2828571	47.50291667
8160	839.4904348	141.5009524	40.01
8400	1078.0205	139.4119048	46.12666667
8640	1327.444348	151.6772727	39.94166667
8880	631.6561905	147.4622727	32.16565217
9120	687.422381	138.3131818	31.22208333
9360	735.996087	132.8572727	35.08375
9600	887.8629167	118.7121739	19.70333333
9840	1238.35619	132.8313636	46.29208333
10080	1314.274762	140.1219048	40.82166667
10320	885.798125	138.4185714	42.69083333
10560	631.33	141.3685714	35.47625
10800	827.884	140.9627273	46.9775
11040	987.0204545	143.4534783	35.86583333
11280	1184.964286	162.1047619	36.45208333
11520	1323.051364	142.6385714	23.10086957
11760	528.98	143.7536364	49.27791667
12000	483.1826316	149.6281818	35.59478261
12240	633.2522727	154.9358333	63.75916667
12480	1001.2305	154.4284211	69.72708333
12720	1226.619524	165.7242857	62.79521739
12960	1363.316087	187.2954545	44.19086957
13200	898.5456522	146.7531818	50.98166667
13440	843.1213043	163.7309091	40.97875
13680	862.0043478	158.6090909	54.41875
13920	1090.568333	173.5509091	44.26833333
14160	1129.763913	149.8173913	46.09083333
14400	1400.157391	160.4709091	36.94833333
14640	812.0775	179.8880952	40.09333333
14880	781.2147826	155.1690909	27.79625
15120	857.0181818	166.5457143	40.46833333
15360	983.296	139.0418182	25.47913043
15600	1258.351111	148.3981818	54.66083333
15840	1347.509048	152.9404348	42.80916667
16080	772.3427273	157.4234783	60.10333333
16320	539.9927273	172.8134783	53.58833333
16560	755.2786957	134.0071429	55.56833333
16800	983.3434783	159.22375	44.19826087
17040	1169.157391	138.0422727	39.98875
17280	1319.825417	148.6391304	28.44458333
17520	691.4727273	158.3013043	39.1073913
17760	519.769	145.0356522	35.70125
18000	797.1959091	139.0768182	53.72833333
18240	995.3795238	160.6128571	59.05833333
18480	1160.803636	158.1740909	64.44625
18720	1336.249545	177.5525	65.9575
18960	1220.806818	166.9559091	56.39913043
19200	971.99	167.003913	50.29958333
19440	1004.789091	159.3026087	54.83458333
19680	1118.338333	156.62625	48.9425
19920	1362.511579	168.4642857	47.88958333
20160	1430.410909	161.4871429	37.67608696
20400	778.1247619	157.5304762	40.46217391
20640	841.0890909	149.8890476	39.13695652
20880	822.873	147.2404545	26.86291667
21120	1110.130476	127.5077273	19.78833333
21360	1204.139565	127.5	36.38041667
21600	1304.186316	148.4678261	24.64708333
21840	373.3595238	121.5545	43.00541667
22079	412.64	159.6558333	31.21083333
22320	652.2	107.762381	40.60416667
22560	855.1668182	131.4738095	33.05083333
22800	1082.194783	128.1418182	38.6873913
23040	1317.922222	127.5654545	27.41833333
23280	616.916	132.7417391	42.04666667
23520	377.0361905	138.4821739	28.28083333
23760	641.5214286	128.0371429	41.75652174
24000	900.253913	122.9890909	32.66652174
24240	1077.770417	136.923	45.94333333
24480	1306.552273	138.2908696	31.02708333
24720	633.9145	128.67	29.91130435
24960	547.4395455	124.3247826	17.00571429
25200	653.9686364	126.9083333	34.6625
25440	844.9068182	143.9717391	27.9173913
25680	1086.999048	136.8922727	46.76375
25919	1324.725714	131.3082609	31.15083333
26160	500.852	141.1463636	54.23291667
26400	421.9430435	147.4954545	46.43791667
26640	703.2880952	129.66	43.6925
26880	900.3368421	124.7685714	27.23416667
27120	1065.259545	131.9356522	42.80083333
27360	1264.641538	140.6586957	32.38375
27600	696.648	135.3945	37.7475
27840	558.112	141.407	37.38666667
28080	663.4017391	148.8304348	58.07291667
28320	957.7308696	124.7985714	38.75041667
28559	1121.688	152.9059091	50.39416667
28800	1342.791364	142.8736364	38.3173913
29040	852.3805263	142.7765217	49.17913043
29280	754.4595455	128.0217391	33.6125
29520	723.76	135.6131818	36.21666667
29760	978.8328571	128.3015	22.56434783
30000	1174.499545	139.3742857	48.84541667
30240	1064.24913	145.379	40.55083333
