Time	New
240	0
479	9
719	0
959	10
1200	0
1439	5
1680	0
1920	6
2159	0
2400	4
2640	0
2880	12
3120	0
3360	12
3600	0
3840	10
4079	0
4320	12
4559	0
4799	5
5040	0
5279	6
5520	0
5760	9
5999	0
6239	12
6479	0
6719	13
6959	0
7200	11
7440	0
7679	7
7920	0
8160	8
8400	0
8640	12
8880	0
9120	15
9359	0
9599	10
9840	0
10079	5
10320	0
10559	15
10800	0
11039	12
11280	0
11519	7
11760	0
12000	11
12239	0
12479	13
12719	0
12960	8
13200	0
13439	8
13679	0
13919	8
14159	0
14399	16
14640	0
14879	15
15119	0
15360	8
15600	0
15839	7
16080	0
16319	12
16559	0
16800	14
17040	0
17280	14
17519	0
17760	9
17999	0
18239	11
18479	0
18719	7
18960	0
19199	10
19439	0
19680	4
19920	0
20159	9
20399	0
20639	9
20879	0
21119	9
21360	0
21600	9
21840	0
22079	11
22320	0
22560	8
22800	0
23040	10
23280	0
23519	3
23760	0
24000	9
24239	0
24480	12
24720	0
24960	11
25199	0
25440	8
25680	0
25919	7
26160	0
26399	12
26640	0
26880	10
27120	0
27359	10
27600	0
27839	6
28079	0
28319	5
28559	0
28799	11
29040	0
29279	12
29519	0
29759	9
30000	0
30239	13
30479	0
30719	12
30959	0
31199	11
31440	0
31680	9
31919	0
32160	12
32399	0
32640	7
32879	0
33120	8
33360	0
33599	18
33839	0
34080	11
34319	0
34559	13
34799	0
35039	2
35279	0
35519	14
35760	0
35999	11
36240	0
36480	8
36720	0
36960	8
37200	0
37439	13
37680	0
37920	6
38159	0
38399	17
38640	0
38879	8
39120	0
39360	8
39600	0
39840	8
40079	0
40320	5
40560	0
40800	12
41040	0
41279	15
41519	0
41760	11
42000	0
42239	12
42480	0
42720	12
42959	0
43200	9
43440	0
43680	5
43920	0
44160	18
44399	0
44640	5
44879	0
45120	10
45360	0
45600	5
45840	0
46080	11
46320	0
46560	11
46799	0
47040	9
47280	0
47519	17
47759	0
48000	4
48239	0
48480	7
48720	0
48960	3
49200	0
49440	8
49679	0
49919	7
50160	0
50399	7
50640	0
50879	14
51119	0
51360	8
51600	0
51840	14
52079	0
52320	14
52559	0
52800	10
53039	0
53279	8
53519	0
53760	7
54000	0
54240	6
54479	0
54720	9
54960	0
55200	12
55439	0
55679	8
55920	0
56159	12
56400	0
56639	7
56879	0
57119	7
57360	0
57599	10
57840	0
58079	9
58319	0
58560	11
58800	0
59040	7
59280	0
59520	9
59760	0
59999	7
60240	0
60480	12
60720	0
60959	9
61200	0
61439	7
61680	0
61920	11
62160	0
62399	14
62639	0
62880	14
63120	0
63359	8
63600	0
63839	10
64079	0
64320	10
64560	0
64800	5
65040	0
65279	10
65520	0
65760	12
66000	0
66240	17
66480	0
66719	12
66960	0
67199	15
67440	0
67680	10
67920	0
68159	12
68400	0
68640	10
68880	0
69120	2
69360	0
69599	7
69839	0
70080	10
70319	0
70560	5
70800	0
71040	7
71279	0
71520	16
71760	0
71999	17
72239	0
72479	5
72720	0
72960	11
73200	0
73440	6
73680	0
73920	8
74160	0
74399	8
74640	0
74880	9
75120	0
75360	9
75600	0
75840	11
76080	0
76320	8
76559	0
76799	13
77039	0
77279	12
77519	0
77760	12
77999	0
78239	10
78479	0
78719	7
78960	0
79199	10
79440	0
79679	10
79919	0
80160	11
80400	0
80639	9
80880	0
81120	11
81360	0
81600	6
81840	0
82079	11
82319	0
82559	3
82800	0
83039	10
83280	0
83519	5
83759	0
84000	8
84239	0
84480	11
84719	0
84960	6
85199	0
85440	6
85680	0
85920	7
86160	0
86400	14
86640	0
86880	7
87120	0
87359	9
87599	0
87839	13
88080	0
88319	10
88560	0
88799	5
89040	0
89279	6
89520	0
89759	12
89999	0
90239	15
90480	0
90720	9
90959	0
91200	9
91440	0
91680	8
91920	0
92160	9
92400	0
92640	9
92879	0
93119	7
93360	0
93600	10
93839	0
94079	9
94319	0
94559	14
94800	0
95040	7
95279	0
95520	12
95759	0
96000	8
96240	0
96480	8
96719	0
96960	7
97199	0
97440	6
97680	0
97920	8
98160	0
98400	7
98640	0
98880	6
99120	0
99360	8
99600	0
99840	19
100079	0
100320	7
100560	0
100800	7
101040	0
101279	7
101520	0
101760	11
101999	0
102240	10
102480	0
102720	11
102960	0
103199	4
103439	0
103680	4
103919	0
104160	8
104399	0
104639	6
104880	0
105120	15
105359	0
105600	8
105840	0
106080	7
106320	0
106559	7
106800	0
107040	13
107280	0
107519	11
107759	0
108000	11
108239	0
108480	8
108720	0
108960	6
109199	0
109439	9
109679	0
109920	4
110159	0
110399	5
110640	0
110880	12
111120	0
111360	8
111600	0
111839	11
112080	0
112319	15
112560	0
112799	10
113040	0
113280	16
113520	0
113760	10
114000	0
114240	13
114479	0
114720	6
114959	0
115199	5
115439	12
115680	0
115920	10
116159	0
116399	5
116640	0
116880	10
117119	0
117360	14
117599	0
117840	10
118079	0
118320	9
118559	0
118800	12
119040	0
119279	10
119520	0
119759	8
119999	0
120239	8
120480	0
120719	3
120960	0
121200	10
121439	0
121680	13
121919	0
122160	10
122400	0
122639	9
122880	0
123120	11
123360	0
123599	8
123839	0
124080	8
124319	0
124559	10
124800	0
125039	11
125279	0
125519	9
125759	0
126000	11
126240	0
126480	7
126719	0
126959	7
127200	0
127439	10
127680	0
127920	12
128160	0
128399	9
128639	0
128879	12
129120	0
129360	13
129599	0
129839	12
130080	0
130320	6
130560	0
130800	10
131039	0
131280	6
131520	0
131760	8
131999	0
132240	16
132480	0
132719	8
132959	0
133199	9
133440	0
133679	12
133920	0
134159	16
134399	0
134639	4
134879	0
135119	10
135360	0
135599	11
135839	0
136079	12
136320	0
136559	14
136800	0
137039	8
137280	0
137519	6
137759	0
137999	7
138239	0
138480	12
138719	0
138960	10
139199	0
139439	8
139680	0
139919	10
140160	0
140400	6
140639	0
140880	7
141119	0
141360	5
141599	0
141840	10
142079	0
142319	11
142559	0
142800	13
143040	0
143279	9
143520	0
143760	14
144000	0
144239	10
144480	0
144719	9
144959	0
145200	15
145439	0
145680	10
145920	0
146159	7
146400	0
146640	16
146880	0
147119	17
147360	0
147599	14
147839	0
148080	18
148320	0
148560	4
148800	0
149039	11
149279	0
149519	6
149760	0
150000	9
150239	0
150480	8
150720	0
150959	8
151200	0
151440	11
151680	0
151919	7
152160	0
152400	11
152640	0
152879	10
153119	0
153360	13
153600	0
153840	4
154080	0
154320	10
154560	0
154799	7
155040	0
155280	8
155520	0
155759	14
156000	0
156240	12
156479	0
156719	6
156959	0
157199	17
157439	0
157680	9
157919	0
158160	8
158400	0
158639	3
158880	0
159119	7
159360	0
159599	10
159840	0
160079	9
160320	0
160560	6
160800	0
161039	10
161280	0
161520	7
161760	0
161999	12
162239	0
162480	4
162720	0
162960	12
163200	0
163439	16
163680	0
163919	10
164160	0
164400	11
164639	0
164880	6
165120	0
165360	9
165599	0
165839	6
166079	0
166320	7
166559	0
166800	13
167039	0
167280	13
167520	0
167759	12
168000	0
168239	14
168479	0
168720	13
168959	0
169200	15
169440	0
169679	10
169919	0
170159	16
170399	0
170639	5
170880	0
171120	11
171359	0
171600	10
171840	0
172079	8
172320	0
172559	12
172800	0
173039	5
173280	0
173519	9
173760	0
173999	10
174239	0
174479	11
174719	0
174959	8
175200	0
175439	5
175680	0
175919	9
176160	0
176400	7
176640	0
176879	13
177120	0
177360	9
177600	0
177839	9
178080	0
178319	8
178560	0
178799	11
179040	0
179279	13
179519	0
179759	11
180000	0
180239	9
180480	0
180720	7
180960	0
181200	7
181440	0
181679	17
181919	0
182159	6
182399	0
182640	10
182879	0
183119	6
183360	0
183599	13
183840	0
184080	10
184320	0
184560	10
184800	0
185039	8
185280	0
185519	9
185760	0
186000	11
186240	0
186480	10
186720	0
186960	15
187200	0
187439	9
187680	0
187919	9
188159	0
188399	12
188640	0
188880	6
189119	0
189359	4
189600	0
189839	7
190080	0
190320	7
190560	0
190799	6
191040	0
191280	16
191520	0
191760	8
192000	0
192239	8
192479	0
192720	11
192960	0
193199	14
193439	0
193679	9
193919	0
194159	8
194399	0
194639	8
194880	0
195119	10
195359	0
195599	8
195840	0
196079	15
196319	0
196560	11
196799	0
197040	9
197279	0
197519	10
197760	0
197999	11
198240	0
198480	5
198719	0
198960	7
199199	0
199439	13
199679	0
199920	8
200160	0
200399	9
200640	0
200880	8
201120	0
201359	10
201599	0
