Time	c	q	s
240	0	0	0
480	0	9	9
720	0	9	9
960	0	19	19
1200	0	19	19
1439	24	24	24
1680	24	24	24
1920	24	30	30
2160	24	30	30
2400	24	34	34
2640	22	32	32
2880	40	40	40
3120	40	40	40
3360	38	50	50
3600	36	48	48
3840	36	58	58
4080	33	55	55
4320	67	67	67
4560	67	67	67
4800	62	67	67
5040	59	64	64
5280	57	68	68
5520	53	63	63
5760	70	70	70
6000	67	67	67
6240	62	74	74
6480	57	69	69
6720	54	79	79
6960	46	71	71
7200	78	78	78
7440	75	74	74
7680	70	75	75
7920	62	67	67
8160	57	72	72
8400	52	67	67
8640	75	75	75
8880	74	74	74
9120	64	78	78
9360	55	69	69
9600	52	77	77
9840	47	72	72
10080	76	75	75
10320	70	69	69
10560	60	73	73
10800	57	69	69
11040	53	77	77
11280	46	72	72
11520	72	72	72
11760	70	70	70
12000	64	75	75
12240	60	71	71
12480	57	80	80
12720	52	74	74
12960	83	81	81
13200	79	78	78
13440	71	76	76
13680	66	71	71
13920	61	76	76
14160	54	69	69
14400	82	82	82
14640	77	77	77
14880	72	87	87
15120	65	80	80
15360	61	84	84
15600	60	83	83
15840	84	84	84
16080	81	81	81
16320	74	85	85
16560	70	80	80
16800	63	87	87
17040	53	78	78
17280	87	87	87
17520	84	84	84
17760	81	90	90
18000	75	83	83
18240	69	86	86
18480	64	84	84
18720	86	85	85
18960	80	79	79
19200	75	83	83
19440	69	78	78
19680	64	77	77
19920	60	74	74
20160	78	78	78
20400	73	73	73
20640	70	79	79
20880	68	76	76
21120	61	79	79
21360	53	71	71
21600	77	75	75
21840	72	70	70
22079	68	77	77
22320	63	71	71
22560	57	74	74
22800	54	71	71
23040	74	74	74
23280	72	72	72
23520	65	68	68
23760	62	64	64
24000	52	63	63
24240	44	56	56
24480	66	65	65
24720	59	58	58
24960	53	63	63
25200	52	62	62
25440	51	69	69
25680	47	65	65
25919	67	67	67
26160	60	60	60
26400	55	67	67
26640	52	64	64
26880	49	71	71
27120	42	64	64
27360	72	72	72
27600	69	69	69
27840	66	72	72
28080	65	71	71
28320	60	71	71
28559	58	68	68
28800	76	75	75
29040	72	71	71
29280	65	76	76
29520	59	70	70
29760	55	75	75
30000	53	73	73
30240	85	84	84
