Time	CycleTime	Idle	Open	Setup	Work	Lateness	OEE	New
240	0	82.54	0	0	0	0	0	0
479	0	81.61666667	9	0	0	0	0	9
720	0	95.441	9	20	13.34	0	16.68	0
960	0	141.3147826	19	18.6	14.19	0	17.73	10
1200	0	120.1281818	19	20	20.1	0	25.13	0
1440	0	129.493	24	20	20.83	0	26.04	5
1680	0	125.899	24	20	20.17	0	25.21	0
1920	0	126.645	30	20	21.58	0	26.98	6
2160	0	124.7847619	30	19.58	24.21	0	30.26	0
2400	0	120.3036364	34	19.9	24.65	0	30.81	4
2640	1006.5	130.41	32	19.98	22.12	-1211	27.68	0
2880	1053.666667	157.3818182	40	19.77	22.98	-1060.333333	28.72	12
3120	1053.666667	139.3266667	40	20	25.27	-1060.333333	31.59	0
3360	1171.125	137.9578261	50	19.48	23.56	-1172.25	29.66	12
3600	1186.6	138.66	48	19.23	30.4	-1216.7	37.99	0
3840	1186.6	153.3686364	58	19.83	28.42	-1216.7	35.52	10
4080	1211.769231	128.6947368	55	19.79	29.08	-1289.076923	36.43	0
4320	1211.769231	154.5315	67	20	27.75	-1289.076923	34.69	12
4560	1211.769231	143.5357895	67	18.88	31.6	-1289.076923	39.51	0
4800	1237.722222	177.9515	67	19.98	27.02	-1317.388889	33.78	5
5040	1235.666667	126.1630435	64	20	24.77	-1356.380952	31.12	0
5280	1232.695652	129.6240909	68	19.79	28.25	-1418.565217	35.31	6
5520	1207.928571	134.0595455	63	20	27.44	-1378.642857	34.3	0
5760	1193	131.8308696	70	20	20.79	-1324.266667	25.99	9
6000	1262.363636	123.3838095	67	19.96	25.94	-1398.121212	32.42	0
6240	1309.236842	136.2317391	74	19.81	24.4	-1429.578947	30.49	12
6480	1394.674419	115.81	69	19.94	26.9	-1464.418605	33.62	0
6720	1473.391304	119.8705	79	19.56	27.79	-1448.391304	34.74	13
6960	1589.351852	145.8156522	71	19.1	31.17	-1419.685185	38.96	0
7200	1636.241379	165.3091304	78	20	26.12	-1440.827586	32.66	11
7440	1670.709677	129.1031579	74	19.42	35.73	-1430.451613	44.66	0
7680	1728.176471	161.2004545	75	19.25	31.69	-1434.323529	39.61	7
7920	1736.223684	131.9021053	67	19.56	26.9	-1459.144737	33.62	0
8160	1769.303797	136.1731579	72	19.81	25.69	-1472.316456	32.11	8
8400	1765.702381	118.7490909	67	19.81	27	-1457.142857	33.75	0
8640	1769.125	167.5090909	75	19.94	25.85	-1448.181818	32.32	12
8880	1792.314607	141.534	74	19.65	30.85	-1471.516854	38.57	0
9120	1819.75	162.935	78	19.83	31.92	-1443.37	39.9	15
9360	1856.229358	133.2814286	69	20	28.1	-1419.908257	35.26	0
9600	1871.135135	154.2809091	77	20	30.46	-1424.441441	38.07	10
9840	1879.637931	160.4043478	72	19.31	33.33	-1401.163793	41.67	0
10080	1898.279661	137.5173913	75	20	28.75	-1424.186441	35.94	5
10320	1905.854839	146.7495455	69	18.92	33.6	-1409.798387	42.01	0
10560	1942.703704	148.5936364	73	19.38	27.5	-1391.466667	34.51	15
10800	1949.410072	134.0747826	69	19.48	32.65	-1380.719424	40.94	0
11040	1943.27972	145.41	77	19.04	35.4	-1370.503497	44.24	12
11280	1957.939189	155.9636364	72	17.77	44.56	-1353.060811	55.7	0
11520	1979.225806	143.8990476	72	19.42	38.19	-1368.580645	47.73	7
11760	1973.496815	150.9036364	70	18.75	36.77	-1363.299363	46.15	0
12000	1972.460123	164.8925	75	19.52	31.23	-1346.687117	39.09	11
12240	1974.335329	140.973913	71	19.44	31.79	-1336.275449	39.74	0
12480	1973.005848	174.2818182	80	19.85	32.94	-1331.064327	41.17	13
12720	2005.00565	153.7804348	74	18.33	35.92	-1357.514124	45.05	0
12960	2019.820225	152.505	81	19.52	28.17	-1364.460674	35.47	8
13199	2038.966851	130.85	78	18.41	37.2	-1370.430939	46.5	0
13440	2047.282723	164.047	76	17.97	35.98	-1369.623037	44.97	8
13680	2059.168367	144.8790909	71	19.06	33.38	-1371.693878	41.77	0
13920	2057.417085	146.9863636	76	20	29.67	-1368.633166	37.08	8
14160	2060.378641	135.1586364	69	19.33	32.31	-1371.912621	40.39	0
14400	2070.425837	154.4683333	82	19.71	27.6	-1367.425837	34.51	16
14640	2062.906542	145.8122727	77	19.17	36.4	-1357.135514	45.49	0
14880	2062.977169	175.3891304	87	19.9	32.83	-1352.287671	41.04	15
15120	2068.225664	164.3678261	80	19	38.4	-1358.469027	47.99	0
15360	2066.521739	161.3182609	84	19.94	33.19	-1351.278261	41.48	8
15600	2066.848485	154.092381	83	19.1	39.92	-1349.588745	49.9	0
15840	2085.864979	157.2331818	84	19.67	31.92	-1358.28692	39.9	7
16080	2076.625	152.2530435	81	19.38	31.1	-1351.695833	38.98	0
16320	2064.459677	137.5913043	85	19.98	30.48	-1349.306452	38.1	12
16560	2086.766798	137.0631818	80	19.67	35.02	-1352.355731	43.78	0
16800	2091.003846	170.9338095	87	18.1	34.88	-1347.657692	43.59	14
17040	2115.858736	168.8938095	78	17.94	40.96	-1363.267658	51.2	0
17280	2117.29562	159.4641667	87	19.17	33.1	-1362.116788	41.38	14
17520	2115.880866	163.2390909	84	18.94	41.77	-1360.552347	52.21	0
17760	2110.646429	156.2438095	90	18.33	43.02	-1360.35	53.78	9
18000	2105.055749	162.3538095	83	19.04	38.33	-1350.996516	47.92	0
18240	2100.461017	182.932	86	19.56	30.69	-1344.291525	38.36	11
18480	2102.501684	156.1880952	84	19.85	33.69	-1343.521886	42.11	0
18720	2095.577558	156.4413636	85	19.02	37.81	-1331.356436	47.34	7
18960	2115.110032	157.9419048	79	19.5	34.58	-1343.987055	43.23	0
19200	2110.844444	151.12	83	19.69	36.65	-1334.698413	45.89	10
19440	2115.590625	156.0447619	78	19.27	38.73	-1341.153125	48.41	0
19680	2115.529231	165.0280952	77	19.42	27.06	-1336.366154	33.88	4
19920	2134.832317	140.6095238	74	19.31	28.83	-1350.365854	36.04	0
20160	2137.408408	149.8847619	78	19.92	22.1	-1353.306306	27.63	9
20400	2151.95858	152.1082353	73	19.94	25.31	-1360.713018	31.64	0
20640	2156.27566	195.8435	79	20	24.21	-1362.387097	30.26	9
20880	2158.023256	159.36125	76	20	24.58	-1370.872093	30.73	0
21120	2177.974286	140.725	79	19.94	29.44	-1385.857143	36.88	9
21360	2179.26257	139.8254545	71	19.6	32.85	-1393.170391	41.07	0
21600	2188.561983	139.9633333	75	20	22.96	-1396.198347	28.7	9
21840	2194.964674	127.9833333	70	20	28.88	-1401.331522	36.09	0
22080	2185.032258	155.582	77	19.88	21.96	-1397.841398	27.45	11
22320	2188.240741	129.8231818	71	19.71	25.27	-1396.335979	31.59	0
22560	2189.558747	124.8709091	74	20	23.85	-1398.302872	30.03	8
22800	2191.106218	134.5977273	71	19.62	29.77	-1399.525907	37.21	0
23040	2194.709924	116.8517391	74	19.81	25.4	-1398.208651	31.8	10
23280	2208.516456	123.6968182	72	19.73	30.08	-1400.918987	37.6	0
23520	2201.557214	120.3547619	68	19.79	26.12	-1402.313433	32.66	3
23760	2197.704433	138.38	64	19.62	26.92	-1400.071429	33.88	0
24000	2204.959135	124.4014286	63	20	21.56	-1395.788462	26.95	9
24240	2203.8487	146.3909524	56	20	23.04	-1392.886525	28.8	0
24480	2199.485915	165.172	65	20	20.96	-1389.568075	26.22	12
24720	2211.979215	170.8880952	58	20	25.02	-1390.628176	31.28	0
24960	2215.029613	153.8579167	63	19.79	24.79	-1396.366743	30.99	11
25200	2212.8	148.4513636	62	19.4	35.25	-1395.520455	44.11	0
25440	2218.598639	155.0808696	69	19.38	30.35	-1401.090703	37.99	8
25680	2215.148315	131.3757895	65	19.54	28.67	-1402.898876	35.83	0
25920	2211.908889	155.6940909	67	19.65	24.98	-1403.184444	31.22	7
26160	2215.350109	129.6308696	60	19.75	29.35	-1407.708972	36.69	0
26400	2218.426407	148.3804545	67	19.48	31.04	-1413.41342	38.8	12
26640	2213.021505	125.7704545	64	19.94	30.92	-1410.406452	38.78	0
26880	2214.068376	174.5372727	71	19.79	27.85	-1410.141026	34.82	10
27120	2217.366316	139.4236364	64	19.62	28.5	-1418.701053	36.02	0
27360	2214.890985	149.8121739	72	19.94	27.96	-1416.230608	34.95	10
27600	2218.970833	143.6486364	69	19.81	33.06	-1419.414583	41.33	0
27840	2217.320911	163.0434783	72	19.75	31.79	-1419.126294	39.74	6
28080	2216.659091	132.4191304	71	19.33	33.38	-1419.42562	41.72	0
28320	2215.08589	142.1757143	71	19.58	26.08	-1423.781186	32.6	5
28559	2215.835366	158.68	68	18.83	33.03	-1424.018293	41.29	0
28800	2213.9375	126.1245455	75	19.9	23.11	-1429.804435	28.89	11
29040	2209.596	127.1322727	71	19.71	31.42	-1429.946	39.27	0
29280	2206.272189	139.4005	76	19.85	28.56	-1433.341223	35.7	12
29520	2210.990253	128.3291304	70	19.29	31.23	-1437.791423	39.04	0
29760	2217.077369	173.138	75	20	28.67	-1438.605416	35.83	9
30000	2215.859345	146.5786957	73	19.69	28.67	-1438.574181	35.91	0
30240	2211.975048	154.413913	84	20	25.56	-1438.184261	31.95	13
30480	2211.095057	157.7873913	79	19.31	37.56	-1438.709125	46.95	0
30720	2224.266417	148.1133333	84	19.58	30.83	-1447.155722	38.54	12
30960	2223.338318	154.9085714	82	19.67	36.46	-1447.106542	45.65	0
31200	2225.050279	152.7372727	91	19.67	29.17	-1449.757914	36.46	11
31440	2223.741758	141.07	82	19.35	32.67	-1464.124542	40.83	0
31680	2223.718693	123.8547826	86	19.31	37.06	-1466.239564	46.33	9
31920	2215.050269	156.4005	80	19.23	36.21	-1463.095153	45.29	0
32160	2219.953737	155.0995238	87	19.65	31.1	-1466.259786	38.88	12
32400	2220.646235	148.4204348	78	19.33	37.02	-1468.82662	46.28	0
32640	2216.688042	135.9190909	79	19.73	32.96	-1468.275563	41.2	7
32880	2216.027397	139.145	72	19.42	29.62	-1463.553082	37.03	0
33120	2221.952381	147.6545455	76	19.67	28.58	-1466.518707	35.73	8
33360	2221.205734	135.9542105	71	19.85	29.42	-1467.851602	36.77	0
33600	2222.25	162.9036364	82	19.98	25.94	-1467.196667	32.42	18
33840	2228.932231	159.8757895	77	20	30.33	-1464.761983	38.1	0
34080	2230.398693	154.3085714	81	19.75	32.79	-1460.720588	40.99	11
34320	2228.334951	156.127619	75	19.29	35.12	-1462.056634	43.91	0
34560	2230.011272	156.1738095	85	18.06	34.98	-1462.357488	43.72	13
34800	2227.336013	149.4778261	84	19.06	36.69	-1462.138264	45.86	0
35040	2221.426073	143.8161905	79	17.88	40.58	-1459.899841	50.73	2
35280	2230.209449	143.0190909	73	19.79	31.69	-1464.015748	39.66	0
35520	2231.799065	150.17	80	19.54	27.54	-1464.590343	34.43	14
