Time	OEE
240	0
480	0
720	0
960	0
1200	0
1439	0
1680	31.61
1920	39.35
2160	28.78
2400	28.83
2640	21.35
2880	18.88
3120	35.96
3360	43.33
3600	35.1
3840	36.02
4080	28.88
4320	23.02
4560	40.78
4800	47.68
5040	44.82
5280	38.44
5520	31.61
5760	31.95
6000	29.48
6240	44.11
6480	31.93
6720	30.31
6960	21.2
7200	19.27
7440	40.36
7680	48.28
7920	43.41
8160	32.86
8400	37.81
8640	26.46
8880	41.95
9120	41.41
9360	44.35
9600	36.54
9840	29.82
10080	24.4
10320	42.32
10560	41.12
10800	46.72
11040	33.75
11280	31.48
11520	19.82
11760	44.58
12000	54.04
12240	48.1
12480	42.63
12720	36.85
12960	30.94
13200	44.92
13440	57.06
13680	48.26
13920	42.03
14160	37.97
14400	27.4
14640	45.23
14880	56.85
15119	47.38
15360	45.49
15600	39.38
15840	32.89
16080	44.9
16320	52.42
16560	44.35
16800	42.6
17040	35.96
17280	27.99
17520	47.03
17760	62.68
18000	61.15
18240	51.28
18480	43.07
18720	42.84
18960	54.71
19200	54.17
19440	45.49
19680	48.36
19920	36.54
20160	26.98
20400	37.47
20640	39.82
20880	36.72
21120	29.17
21360	27.19
21600	15.81
21840	44.38
22080	40.7
22320	36.54
22560	31.72
22800	29.3
23040	21.48
23280	37.27
23520	45.03
23760	39.51
24000	25.91
24240	25.62
24480	18.59
24720	41.35
24960	42.4
25200	35.65
25440	31.56
25680	26.95
25920	20.31
26160	47.79
26400	34.06
26640	39.58
26880	31.04
27120	27.55
27360	25.05
27600	42.45
27840	44.79
28080	44.14
28320	43.12
28560	33.67
28800	24.66
29040	41.56
29280	48.18
29520	40.65
29760	38.2
30000	27.4
30240	21.51
30480	47.92
30719	53.32
30960	47.9
31200	40.52
31440	34.17
31680	22.76
31920	49.3
32159	44.14
32400	43.78
32640	39.77
32880	29.48
33120	27.53
33360	45.52
33600	44.74
33840	46.35
34080	29.06
34320	31.17
34560	26.48
34800	51.98
35040	61.69
35280	60.76
35520	44.3
35760	35.55
36000	35.26
36240	53.07
36480	43.46
36720	34.87
36960	40.29
37200	36.38
37440	22.71
37680	50.57
37920	47.42
38160	43.57
38400	37.86
38640	28.75
38880	24.87
39120	52.34
39359	56.07
39600	49.95
39840	41.56
40080	32.01
40320	26.67
40560	48.49
40800	43.54
41040	43.59
41279	35.28
41520	30.89
41760	24.56
42000	48.67
42240	54.11
42480	47.76
42720	40.31
42960	34.01
43200	31.17
43440	50.31
43680	54.04
43920	49.56
44160	45.68
44400	44.77
44640	32.14
44880	46.38
45120	50.08
45360	47.32
45600	35.94
45840	31.56
46080	22.16
46320	50.86
46560	41.85
46800	39.35
47040	36.9
47280	25.31
47520	23.15
47760	49.22
48000	45.42
48240	44.51
48480	37.89
48720	36.41
48960	30.91
49200	35.55
49440	37.21
49680	27.16
49920	22.11
50160	21.02
50400	14.61
50640	35.18
50880	36.25
51120	26.3
51360	26.56
51600	25.23
51840	18.23
52080	44.17
52320	44.56
52560	39.35
52800	35.44
53040	35.29
53280	22.42
53520	45
53760	45.18
54000	39.45
54240	43.88
54480	30.99
54720	27.03
54960	40
55200	41.77
55440	43.26
55680	32.71
55920	25.73
56160	22.14
56400	47.76
56640	42.19
56880	43.15
57120	30
57360	29.95
57600	25.83
57839	44.14
58080	43.02
58320	38.93
58560	32.03
58800	26.69
59040	20.99
59280	43.36
59520	47.84
59760	36.2
60000	30.68
60240	22.66
60480	20.31
60720	35.76
60960	40.36
61200	39.66
61440	28.88
61680	23.59
61920	21.85
62160	47.86
62400	46.46
62640	45.08
62880	38.78
63120	30.47
63360	22.06
63600	52.76
63839	60.28
64080	47.48
64320	41.72
64560	37.16
64800	32.79
65040	43.46
65280	48.59
65520	39.4
65760	34.77
66000	29.4
66240	22.58
66480	47.97
66720	56.95
66960	45.55
67200	38.54
67440	29.95
67680	24.11
67920	52.94
68160	50.26
68400	43.41
68640	36.33
68880	33.98
69120	26.04
69360	49.45
69600	49.84
69840	43.59
70080	33.88
70320	34.4
70560	30.29
70800	45.26
71040	44.95
71280	43.78
71520	39.58
71760	26.56
72000	25.73
72240	50.13
72480	50.65
72720	41.43
72960	38.62
73200	37.16
73440	30.34
73680	43.1
73920	39.84
74160	35.49
74400	35.62
74640	27.58
74880	23.41
75120	41.33
75360	35.03
75600	32.24
75840	29.97
76080	24.51
76319	18.02
76560	40.79
76800	34.71
77040	36.3
77280	26.3
77520	28.67
77759	23.33
78000	52.67
78240	51.12
78480	49.95
78720	42.32
78960	41.59
79200	33.28
79440	52.73
79680	46.15
79920	41.95
80160	37.24
80400	25.44
80640	22.71
80880	53.59
81120	50.76
81360	44.43
81600	41.3
81840	30.68
82080	23.52
82320	47.42
82560	47.68
82800	36.12
83040	31.9
83280	24.14
83520	21.69
83760	30.86
84000	32.55
84240	28.88
84480	24.51
84720	19.06
84960	15.55
85200	38.23
85440	42.14
85680	41.82
85920	28.33
86160	26.72
86400	24.9
86640	46.04
86880	46.77
87120	45.6
87360	30.63
87600	28.1
87840	17.89
88080	53.41
88320	47.14
88560	43.62
88800	34.4
89040	36.07
89280	24.82
89520	47.19
89760	42.24
90000	39.58
90240	27.89
90480	25.57
90720	19.24
90960	47.03
91200	44.32
91440	45.44
91680	37.76
91920	34.61
92160	26.95
92400	48.91
92640	45.6
92880	39.82
93120	35.44
93360	27.63
93600	25.96
93840	40.73
94080	40.52
94320	34.51
94560	26.51
94800	24.35
95040	21.17
95280	47.34
95520	54.04
95760	45.68
96000	34.09
96240	30.03
96480	21.61
96720	48.78
96960	46.82
97200	38.91
97440	39.43
97680	28.41
97920	23.36
98160	40.78
98400	40.16
98640	33.28
98880	26.15
99120	18.41
99360	16.61
99600	40.62
99840	38.07
100079	34.18
100320	25.08
100560	24.71
100800	28.48
