Time	cycle	Idle	Open	Setup	TotalWork	Lateness	OEE	New
240	0	42.69318182	0	0	0	0	0	0
479	0	31.34869565	9	0	0	0	0	9
719	0	51.76791667	9	17.85	26.1	0	32.63	0
959	0	44.57416667	19	14.69	20.79	0	26.02	10
1200	0	36.87916667	19	16	37.66	0	47.07	0
1439	0	30.6175	24	17.32	31.38	0	39.23	5
1680	0	34.17625	24	15.7	31.49	0	39.37	0
1920	0	28.22958333	30	14.29	16.81	0	21.12	6
2159	0	34.88375	30	17.07	30.82	0	38.52	0
2400	0	24.74434783	34	15.37	22.95	0	28.68	4
2640	539.5	41.08666667	32	16.31	26.67	-1678	33.78	0
2880	621.3333333	38.03833333	40	9.27	11.31	-1492.666667	14.14	12
3120	621.3333333	40.27166667	40	16.83	36.92	-1492.666667	46.15	0
3360	693.375	36.26666667	50	15.38	29.04	-1650	36.3	12
3600	733.2	44.68	48	14.75	37.23	-1670.1	46.69	0
3840	733.2	38.27130435	58	13.6	26.31	-1670.1	32.97	10
4079	733.6923077	49.19	55	18.2	39.06	-1767.153846	48.82	0
4320	733.6923077	34.81791667	67	14.38	31.37	-1767.153846	39.26	12
4559	733.6923077	31.69375	67	16.23	36.28	-1767.153846	45.4	0
4799	736.8333333	32.47909091	67	13.85	26.42	-1818.277778	33.02	5
5040	728.9047619	32.8225	64	14.11	26.87	-1863.142857	33.64	0
5279	708.1304348	20.0595	68	12.22	14.04	-1943.130435	17.55	6
5520	682.4642857	33.98625	63	15.83	20.37	-1904.107143	25.47	0
5760	677.4	36.79304348	70	6.88	10.83	-1839.866667	13.54	9
5999	707.9393939	40.78869565	67	17.59	30.27	-1952.545455	37.92	0
6239	741.2894737	37.23913043	74	14.21	20.23	-1997.526316	25.29	12
6479	751.6976744	43.695	69	17.75	36.12	-2107.395349	45.16	0
6719	772.7608696	39.09826087	79	14.31	28.56	-2149.021739	35.7	13
6959	783.7222222	44.20958333	71	18.83	43.58	-2225.314815	54.48	0
7200	793.862069	42.27666667	78	16.2	29.34	-2283.206897	36.67	11
7440	796.8064516	37.68086957	74	14.69	36.17	-2304.354839	45.21	0
7679	810.0882353	25.64791667	75	16.86	25.9	-2352.411765	32.37	7
7920	791.5131579	30.8226087	67	15.02	27.14	-2403.855263	33.92	0
8160	800.556962	28.55375	72	12.96	18.19	-2441.063291	22.73	8
8400	797.5	48.14666667	67	17.58	33.96	-2425.345238	42.45	0
8640	799.5227273	42.72375	75	11.65	20.48	-2417.784091	25.6	12
8880	799.0449438	46.97583333	74	15.21	36.75	-2464.786517	45.94	0
9120	811.38	45.39333333	78	16.79	27.92	-2451.74	34.9	15
9359	819.3486239	46.23916667	69	15.31	38.03	-2456.788991	47.54	0
9599	824.6936937	37.945	77	15.65	30.5	-2470.882883	38.12	10
9840	834.0086207	34.85041667	72	16.68	43.42	-2446.793103	54.28	0
10079	836.0508475	21.69772727	75	18.08	25.94	-2486.415254	32.58	5
10320	836.5	52.09583333	69	15.75	28.55	-2479.153226	35.68	0
10559	834.4814815	49.55083333	73	11.4	15.96	-2499.688889	20.03	15
10800	833.0215827	63.47695652	69	16.99	40.37	-2497.107914	50.47	0
