Time	Setup	OEE	Open	cycle	Idle
240	12.64	10.62	8	0	36
480	17.5	43.49	13	0	44
720	15.33	52.41	21	0	47
960	16.51	51.91	27	0	47
1200	17.74	52.67	32	0	52
1440	16.04	54.69	36	0	56
1680	15.92	55.83	46	0	49
1920	17.01	53.06	58	0	60
2160	16.67	58.41	67	0	65
2400	13.76	61.44	78	333	66
2640	16.05	65.77	78	610.5	74
2880	17.61	56.07	80	567.25	67
3120	17.08	56.46	85	567.25	67
3360	17.25	60.39	93	679.4545455	51
3600	15.9	52.85	99	673.5	64
3840	15.1	69.29	107	721.1666667	58
4080	15.63	58.63	112	750	75
4320	17.71	58.75	115	778.8148148	80
4560	16.33	66.74	117	770	65
4800	17.5	58.88	120	788.8888889	63
5040	16.52	64.19	125	845.6744186	61
5280	15.02	68.46	134	894.8913043	67
5520	14.94	67.06	136	962.7358491	76
5760	16.14	61.83	131	1010.323077	78
6000	16.77	65.76	133	1054.378378	73
6240	16.07	70.21	135	1065.192771	83
6480	16.15	68.78	136	1065.944444	94
6720	13.33	66.74	134	1079.643564	105
6960	13.96	70.07	131	1089.4375	92
7200	13.71	71.95	135	1101.491667	97
7440	15.98	70.91	129	1108.689394	111
7680	15.02	70.06	128	1127.371429	95
7920	13.34	69.37	131	1135.222222	115
8160	17.06	69.79	134	1167.62987	105
8400	14.62	72.49	141	1201.27439	95
8640	14.94	71.74	143	1202.882353	99
8880	14.38	73.21	141	1230.751412	97
9120	15.48	61.77	145	1235.637363	114
9360	13.73	67.68	145	1255.421053	116
9600	12.71	72.73	153	1270.204082	103
9840	13.57	79.67	148	1309.328638	112
10080	11.9	76.86	148	1326.3	122
10320	12.9	75.99	150	1353.222707	130
10560	14.44	72.73	147	1374.130252	129
10800	13.43	78.03	147	1404.42915	129
11040	13.92	75.29	146	1410.964706	119
11280	14.56	66.88	145	1417.848837	129
11520	14.19	76.15	141	1445.125461	109
11760	15.29	75.73	133	1485.226481	100
12000	15.54	69.32	132	1501.037288	79
12240	15.85	58.39	130	1535.552288	86
12480	14.27	59.32	135	1553.208333	88
12720	13.38	67.16	135	1558.883281	86
12960	16.43	61.77	135	1579.2	75
13200	16.65	60.98	139	1577.582317	81
13440	17.4	54.97	132	1588.058997	70
13680	16.6	55.01	130	1607.87106	67
13920	16.33	63.78	138	1609.909091	76
14160	14.29	68.59	137	1623.253444	77
14400	14.77	63.51	134	1628.217158	77
14640	16.36	63.52	127	1629.70801	88
14880	16.54	61.74	126	1635.673367	87
15120	15.19	65.95	123	1638	77
15360	14.75	63.93	124	1636.239808	69
15600	15.9	67.23	122	1654.423888	74
15840	15.19	63.07	120	1663.983871	85
16080	16.07	68.04	118	1664.750567	74
16320	17.31	58.75	122	1663.220982	80
16560	15.87	64.21	124	1658.49115	75
16800	16.34	60.67	131	1661.69	69
17040	15.06	61.38	129	1668.54	81
17280	14.2	68.70	134	1668.86	81
17520	15.81	64.57	137	1665.28	95
17760	13.77	72.91	141	1667.19	87
18000	15.21	66.47	142	1663.09	100
18240	13.91	66.27	145	1664.29	98
18480	14.4	65.55	146	1660.81	94
18720	14.17	72.21	148	1661.59	93
18960	15.5	66.25	148	1661.90	87
19200	14.25	73.26	155	1660.94	91
19440	15.23	70.47	152	1658.78	97
19680	16.19	64.85	156	1658.65	97
19920	13.2	66.57	147	1658.72	129
20160	11.77	69.45	149	1658.84	100
20400	12.96	64.19	150	1662.10	85
20640	15.38	64.02	147	1664.89	89
20880	14.4	70.94	143	1662.67	108
21120	13.98	65.68	139	1664.27	101
21360	15.87	67.79	143	1666.32	108
21600	16.26	69.64	139	1672.20	95
21840	14.27	71.17	147	1673.98	102
22080	13.23	69.71	147	1679.46	114
22320	12.51	74.46	140	1681.94	128
22560	12.03	76.15	141	1685.16	113
22800	12.94	71.90	140	1690.22	112
23040	14.6	67.47	134	1702.71	111
23280	14.31	68.67	133	1712.17	106
23520	13.69	65.00	138	1715.90	94
23760	14.12	69.24	139	1716.86	115
24000	14.4	72.95	144	1721.84	129
24240	13.33	74.74	145	1729.67	112
24480	11.95	78.32	144	1733.86	129
24720	12.94	71.20	150	1735.79	121
24960	11.24	67.71	141	1741.80	128
25200	13.81	76.10	147	1749.36	113
25440	12.55	74.82	140	1761.28	116
25680	13.91	72.44	139	1763.62	117
25920	15.17	66.16	138	1769.68	104
26160	15.21	66.59	133	1775.86	110
26400	11.99	68.07	142	1779.49	94
26640	14.08	71.64	141	1783.89	116
26880	14.77	68.02	145	1783.77	99
27120	14.62	70.31	152	1787.38	103
27360	15.52	73.18	145	1798.89	113
27600	14.44	68.88	137	1809.04	112
27840	14.06	71.25	134	1814.14	98
28080	15.6	61.80	126	1818.63	77
28320	13.01	64.02	130	1817.57	69
28560	16.77	59.01	128	1820.31	73
28800	16.27	55.08	125	1824.06	61
29040	17.3	61.67	130	1826.55	70
29280	15.17	65.40	123	1824.64	70
29520	16.18	55.63	132	1824.18	73
29760	17.49	63.57	128	1819.48	68
30000	16	67.61	133	1822.09	75
30240	16.17	68.70	135	1824.45	84
30480	16.75	70.06	134	1834.84	101
