t	s	q	c
240	36.97916667	44.78	32.78
480	48.1825	77.77210526	42.77210526
720	38.04833333	103.7918182	51.7918182
960	43.01916667	104.2665217	49.2665217
1200	44.99652174	116.7377273	61.7377273
1440	30.76434783	123.1790476	87.1790476
1680	25.96166667	119.425	148.903529411765
1920	31.46869565	118.4090476	359.299130434783
2159	39.05291667	131.9765217	590.749545454545
2399	44.30416667	128.9936364	866.961
2639	46.33083333	134.8840909	1069.92956521739
2879	39.36208333	145.0695238	1329.12666666667
3120	31.24125	141.4140909	301.9195
3359	31.88130435	142.556087	429.774090909091
3599	33.26583333	134.7147619	631.650434782609
3840	42.24083333	162.5919048	905.868235294118
4079	45.12458333	159.6952174	1143.6485
4319	44.88375	146.253913	1313.54411764706
4559	45.81541667	151.7404348	655.285263157895
4799	46.39958333	166.0452381	508.471428571428
5039	34.3425	148.9704545	711.045217391304
5279	42.39666667	155.1670833	941.488636363636
5520	52.40913043	154.2180952	1165.35681818182
5760	42.31416667	149.6804545	1349.70304347826
6000	53.28166667	156.7531818	1068.26041666667
6239	50.68375	170.4014286	1021.713
6480	48.405	157.795	981.692727272727
6720	47.69916667	154.1604167	1106.15045454545
6960	39.64791667	161.8236364	1099.41380952381
7200	49.99	158.1495833	1348.38666666667
7439	49.11041667	162.3709091	485.815238095238
7679	54.96041667	165.5663636	409.793636363636
7920	49.72166667	178.8290909	669.6925
8159	42.16	153.4147619	874.116111111111
8399	42.13375	164.6495652	1092.0665
8640	60.155	163.5171429	1335.97363636364
8879	52.305	152.1495238	976.342272727273
9120	50.3926087	173.3442857	763.227826086956
9359	51.5675	161.7761905	1039.49727272727
9600	52.0125	164.62375	1105.22736842105
9840	64.295	172.6508696	1394.28
10079	53.73391304	165.5340909	1354.52285714286
10319	58.03391304	186.5921739	490.33125
10559	56.04782609	177.1347826	521.671304347826
10800	60.94916667	161.7391304	698.584347826087
11040	52.63	149.4243478	965.281666666667
11279	44.15583333	173.5604348	1160.5752173913
11520	38.73875	149.2171429	1350.54125
11759	32.40666667	146.0634783	657.113913043478
12000	37.24458333	143.9416667	677.762608695652
12240	40.23458333	158.8704762	722.511818181818
12480	38.06608696	131.9517391	1041.51047619048
12720	45.57434783	151.5742857	1157.46652173913
12960	42.4726087	152.1075	1318.39375
13200	50.4126087	151.142	711.183157894737
13440	42.15869565	149.073913	955.662727272727
13680	33.62833333	159.26875	875.207826086957
13919	34.52708333	135.9638095	1000.4325
14159	33.01958333	151.4736364	1224.95454545455
14400	39.8525	154.953913	1549.96826086957
14640	35.24541667	165.7165217	817.293043478261
14879	35.10833333	149.0765217	722.882272727273
15119	41.40375	156.5426087	918.713181818182
15360	43.89958333	141.19	945.765
15599	44.81	141.4468182	1129.21571428571
15839	52.02583333	146.2772727	1328.05181818182
16080	35.8375	144.0882609	376.557142857143
16319	38.95333333	132.252	460.428636363636
16559	42.97166667	159.1627273	839.924166666667
16799	47.205	149.4652174	904.308947368421
17040	55.28956522	157.1518182	1082.325
17279	44.71458333	165.435	1325.89869565217
17519	50.71416667	155.1640909	744.651363636364
17760	44.33583333	159.264	684.635416666667
17999	52.65666667	156.4586364	860.937391304348
18239	49.8973913	147.1878261	1066.11956521739
18480	56.11458333	174.9845833	1214.43608695652
18719	43.33652174	180.9278261	1319.81444444444
18960	52.31583333	164.002381	741.424545454545
19200	38.17833333	158.5745455	673.754347826087
19439	48.03041667	174.3966667	854.446086956522
19680	52.00166667	158.8077273	1130.46695652174
19920	57.36173913	160.8431818	1158.34272727273
20159	49.55625	159.9386957	1446.00863636364
20399	41.16458333	149.2313636	702.615909090909
20639	49.2175	160.3533333	661.785
20880	53.52708333	175.9704762	885.35
21120	52.27375	151.2540909	1037.4747826087
21359	48.55833333	155.0442857	1209.66565217391
21599	50.3325	151.0728571	1376.26578947368
21839	47.74166667	173.9685714	516.545
22079	60.32913043	165.23375	456.380434782609
22319	58.01956522	185.9382609	650.02619047619
22560	62.04791667	172.7386364	1046.92
22799	52.71041667	175.2877273	1166.04904761905
23039	53.33875	162.0313043	1305.41
23280	48.07416667	137.3122727	653.614
23519	48.42666667	162.9886957	521.927727272727
23759	51.05166667	152.6609091	685.654347826087
24000	51.1625	156.5291304	940.182173913044
24239	51.16958333	156.9852174	1111.2645
24479	53.615	149.055	1326.81458333333
24719	58.79304348	161.4213043	620.399090909091
24959	49.29125	142.6966667	576.688636363636
25200	46.73875	168.096087	666.079130434783
25440	55.49458333	139.8375	856.8535
25680	52.63208333	161.3254545	1099.87952380952
25920	45.74652174	180.1817391	1312.2380952381
26160	42.71666667	143.7390909	739.925
26400	33.03125	153.7963636	442.88
26639	47.27958333	177.2769565	736.613181818182
26880	40.82625	166.9369565	869.039090909091
27120	42.81291667	137.6633333	1074.21818181818
27359	57.16625	167.0890476	1314.53315789474
27599	48.14541667	160.5335	460.920526315789
27839	37.53875	139.8509524	496.543181818182
28079	29.88	161.5880952	655.211304347826
28320	30.36291667	150.7922727	1002.25043478261
28560	30.77565217	152.8285714	1117.26541666667
28799	32.24583333	131.2913043	1320.97727272727
29039	32.02173913	140.8695238	592.3475
29280	47.54333333	147.238	449.079047619048
29519	45.46458333	154.1395833	683.598695652174
29760	54.98291667	151.6315	891.62125
29999	52.45708333	156.6172727	1086.65695652174
30240	57.23875	157.4768085	1081.45829787234
