Time	q	s	c
240	13.06	12.64	0
480	20	17.5	11.33
720	20	15.33	12.44
960	20	16.51	12.98
1200	20	17.74	11.33
1440	19.23	16.04	14.71
1680	19.98	15.92	11.19
1920	19.6	17.01	10.4
2160	19.62	16.67	11.73
2400	18.9	13.76	10.69
2640	17.9	16.05	9.02
2880	19.25	17.61	9.81
3120	18.4	17.08	9.1
3360	18.42	17.25	11.02
3600	18.06	15.9	10.58
3840	18.1	15.1	8.65
4080	16.92	15.63	8.15
4320	16.69	17.71	9.38
4560	18.17	16.33	9.38
4800	19.02	17.5	9
5040	18.15	16.52	7.77
5280	16.29	15.02	9.23
5520	17.15	14.94	8.35
5760	18.23	16.14	7.48
6000	16.1	16.77	7.54
6239	18.33	16.07	8.93
6480	17.18	16.15	10
6720	14.88	13.33	8.25
6960	16.81	13.96	8.44
7200	14.15	13.71	7.9
7440	15.92	15.98	7.33
7680	16.17	15.02	7.21
7920	15.56	13.34	9.46
8160	17	17.06	8.54
8400	15.48	14.62	8.54
8640	14.12	14.94	9.27
8880	14.27	14.38	8.06
9120	14.9	15.48	6.81
9359	14.08	13.73	7.59
9599	15.52	12.71	7.44
9840	16.54	13.57	10.35
10080	11.31	11.9	10.79
10320	16.27	12.9	12.02
10560	12.71	14.44	13.58
10800	15.25	13.43	6.02
11040	11.67	13.92	9.29
11280	14.04	14.56	13.6
11520	13.23	14.19	15.02
11760	15.54	15.29	11.15
12000	14.46	15.54	10.69
12240	16.52	15.85	9.85
12480	15.81	14.27	11.12
12720	15.42	13.38	8.6
12960	13.17	16.43	10.65
13200	16.92	16.65	6.33
13440	15.58	17.4	8.54
13680	17.31	16.6	9.83
13920	18.71	16.33	10.29
14160	17.17	14.29	10.21
14400	13.69	14.77	10.65
14640	15.62	16.36	10.29
14880	18.1	16.54	12.29
15120	15.5	15.19	15.71
15360	18.21	14.75	11.81
15600	18.58	15.9	13.81
15840	14.88	15.19	13.83
16080	15.83	16.07	11
16320	17.71	17.31	9.5
16560	16.29	15.87	10.6
16800	17.52	16.34	9.48
17040	17.4	15.06	11.04
17280	16.9	14.2	5.79
17520	16.35	15.81	10.44
17760	14.12	13.77	9.81
18000	13.75	15.21	9.71
18240	16.1	13.91	8.42
18480	14.31	14.4	7.73
18720	15.65	14.17	5.08
18960	16.29	15.5	8.75
19200	16.23	14.25	8.12
19440	16.56	15.23	12.21
19680	16.02	16.19	11.83
19920	12.94	13.2	13.58
20160	15.85	11.77	12.73
20400	15.27	12.96	10.1
20640	12.85	15.38	7.31
20880	14.06	14.4	15.81
21120	16.94	13.98	14.25
21360	15.94	15.87	11.29
21600	13.85	16.26	15.06
21839	16.09	14.27	14.37
22080	17.74	13.23	15.31
22320	15.65	12.51	15.04
22560	14.35	12.03	15.42
22800	14.1	12.94	13.52
23040	14.9	14.6	14.33
23280	15.83	14.31	13.54
23520	15.25	13.69	14.71
23760	15.4	14.12	13.04
24000	15.92	14.4	12.88
24240	14.02	13.33	16.79
24480	13.71	11.95	13.27
24720	14.35	12.94	14.88
24960	14.25	11.24	13.54
25200	14.83	13.81	15.35
25440	14.46	12.55	13.1
25680	15.94	13.91	13.27
25920	16.29	15.17	13.21
26160	17.56	15.21	15.35
26400	15.1	11.99	17.44
26640	15.15	14.08	16.25
26879	14.06	14.77	13.54
27120	17.59	14.62	13.38
27360	14.9	15.52	13.48
27599	14.66	14.44	14.04
27840	16.06	14.06	16.45
28080	16.96	15.6	13.06
28320	16.85	13.01	15.58
28560	17.48	16.77	12.73
28800	16.5	16.27	14.4
29040	17.52	17.3	13.48
29280	18.5	15.17	15.46
29520	15.88	16.18	14.69
29760	16.75	17.49	14.06
30000	16.65	16	10.75
30240	15.08	16.17	14.15
